post_id,post_text,label,Race,Religion,Gender,Sexual Orientation,Miscellaneous
1179063826874032128_twitter,we cannot continue calling ourselves feminists if the rights of all womxn arent addressed yes to a sexual offences public list but will a trans lesbian bisexual and queer womxn be able to enter their information on the reporting sheet gender forum,0.0,0.0,0.0,0.0,0.0,1.0
1178793830532956161_twitter,nawt yall niggers ignoring me,0.0,1.0,0.0,0.0,0.0,1.0
1179088797964763136_twitter,<user> i am bit confused coz chinese ppl can not access twitter thn how this ching chong using it i think he pakistani 🤔 🤔 🤔,1.0,0.0,0.0,0.0,0.0,0.0
24198545_gab,and this is why i end up with nigger trainee doctors who can not speak properly lack basic knowledge of biology it truly scary if the public only knew,1.0,1.0,0.0,0.0,0.0,0.0
19679648_gab,guilty until proven innocent unless you are a jew a nigger or a lover of both,1.0,1.0,1.0,0.0,0.0,1.0
23844035_gab,<number> <number> <percent> of brits think multiculturalism is a failure i guess the other <percent> are happy with their muzzie master there no great in britain anymore soon big ben will be converted into a minaret,1.0,0.0,1.0,0.0,0.0,1.0
1089312238102609921_twitter,tariq nasheed beating the fuck out of that drum beloved lmao somebody put a biscuit in that niggas mouth already,0.0,1.0,0.0,0.0,0.0,1.0
1122734457230774272_twitter,fellas be careful she texting other niggas,0.0,0.0,0.0,0.0,0.0,1.0
1084835380619300864_twitter,italian niggas call they dick the poozingi,0.0,1.0,0.0,0.0,0.0,1.0
1178905338386567168_twitter,<user> <user> <user> <user> <user> he married a negress because white women did not want him but black females all over america love nobama,0.0,1.0,0.0,0.0,0.0,1.0
1178177759971086336_twitter,anyways the fact that her outfit directly violates france law abt no face coverings veils but is still headlined in paris fashion week shows that the law was never abt obscured facial identification but abt white supremacy and islamophobia,0.0,0.0,1.0,0.0,0.0,1.0
15544666_gab,lol what a stupid kike,1.0,0.0,1.0,0.0,0.0,0.0
14104384_gab,why does anyone care what the albino nigger has to say,1.0,1.0,0.0,0.0,0.0,0.0
12533510_gab,this sounds like a kike national socialist,1.0,0.0,1.0,0.0,0.0,0.0
14580398_gab,only elite looters are enriched when they import a 6 0 iq moslem onto welfare section <number> homeless vets would not need taxpayer paid classes on how to use toilets in free homes,0.0,0.0,1.0,0.0,0.0,1.0
18853541_gab,a negro moslem doctor got struck off for negligence when a white <number> year old kid with down syndrome died the guardians response is to help promote a crowd funding campaign for her,1.0,1.0,1.0,0.0,0.0,0.0
1105268381341675520_twitter,if we could teach a giraffe to paint that would be one handy sumbitch,0.0,0.0,0.0,0.0,0.0,1.0
1163507718436601857_twitter,smiling cuz i am young black rich and i am handsome,0.0,0.0,0.0,0.0,0.0,1.0
1178728588390096897_twitter,<user> <user> yeah but as people who fall outside of society standard sexual norms maybe theres a reason a lot of queer trans ppl like to talk a bit more openly about their sexuality in certain spaces where they feel safe to do so,0.0,0.0,0.0,0.0,0.0,1.0
1179072857902596096_twitter,<user> <user> is a scheming fraud who fronts a hillbilly cult,0.0,0.0,0.0,0.0,0.0,1.0
1178396130385645568_twitter,<user> no idea who these women are they get all the credit for jumping on after the women who been calling for impeachment take the hits and smears and told to go back to where they come from job well done unknown white congress women 🙄,0.0,0.0,0.0,0.0,0.0,1.0
1174019973871632384_twitter,related instagram tags for jewelry fashionable designer trendy hairstyle fashion gram fashion blog menswear men style trend,0.0,0.0,0.0,0.0,0.0,1.0
1178715715299352577_twitter,catch woahs and pull hoes,0.0,0.0,0.0,0.0,0.0,1.0
1117069735126921216_twitter,remember kids the cucumber is the sluttiest vegetable,0.0,0.0,0.0,0.0,0.0,1.0
1179105177443454982_twitter,<user> <user> <user> like pretty much anything rooted in nostalgia even tangentially is going down the wrong path because if you are a trans woman of color or disabled queer latina you almost certainly never had all of things and in many cases had none,0.0,0.0,0.0,0.0,0.0,1.0
1179089882095874048_twitter,you stupid motherfucking dick just why dont you over dribble your ass and get the fuck out of the club you fucking faggot <user>,1.0,0.0,0.0,1.0,0.0,0.0
1179102626207686657_twitter,<user> <user> <user> it was way better than sonoma if you remember your redneck jesus won the glenn also,0.0,1.0,0.0,0.0,0.0,1.0
24760322_gab,the flag of the maga fags in all it glory it comes with nigger red shoes too,1.0,1.0,0.0,0.0,0.0,0.0
22421440_gab,if i hear the phrase white privilege one more time i am going to opt to come back in my next life as a black hispanic latino illegal muslim jewish faggot feminist queer gay lesbian dike transgender piece of shit in other words everything i have not been in this life,1.0,1.0,1.0,1.0,0.0,0.0
19364824_gab,just another dumb nigger,1.0,1.0,0.0,0.0,0.0,0.0
13799524_gab,have you proven your gender yet nice profile pic by the way oh im a nigger too,1.0,1.0,0.0,0.0,0.0,0.0
4120510_gab,<user> the cunt of a retarded nigger pissed beads of shit into asshole of a jew kike,1.0,1.0,1.0,1.0,0.0,0.0
