sentence,target_logits,concept_logits,concept_gradient,label,concept_label
i dont think im getting my baby them white 9 he has two white j and nikes not even touched,[[0.87127566 0.12872435]],[[0.6233573  0.10799944 0.1404543 ]],[[ 0.23679452 -0.05268621 -0.01179945]],0,[[0. 0. 0.]]
laura loomer raped me while screaming at me in her disgusting kike language and said we must exterminate the goyim laura loomer loomergate,[[0.00351634 0.9964837 ]],[[0.04261988 0.99416405 0.28609204]],[[-0.05428824  0.26135212 -0.02814171]],1,[[0. 1. 0.]]
<user> what did the old lady do was she a nazi or white supremacist,[[0.994429   0.00557104]],[[0.13675962 0.04971206 0.54397804]],[[ 0.17223224 -0.00224751 -0.00387964]],0,[[0. 0. 0.]]
<user> <user> <user> with a room full of white folks,[[0.99653804 0.00346203]],[[0.24462679 0.00797617 0.025451  ]],[[ 0.19021314 -0.00533295 -0.04056418]],0,[[0. 0. 0.]]
they are going to figure out a way to kike bitcoin,[[0.00496458 0.9950354 ]],[[0.01733814 0.98938584 0.20560978]],[[-0.00273476  0.26763064 -0.0087387 ]],1,[[0. 1. 0.]]
<user> <user> a camel jockey midde east watering station,[[0.9275749  0.07242511]],[[0.07919241 0.23721239 0.07648341]],[[ 0.14203689 -0.07459404 -0.09279399]],0,[[0. 0. 0.]]
the labour party has <number> mps in prison for paedophilia <number> mps and councillors on the sex registry <number> million white kids raped by paki muslims all labour voters covered up by labour councils mps and a pm,[[0.03462217 0.9653778 ]],[[0.20006205 0.98947453 0.74007225]],[[ 0.04208949  0.27378553 -0.01324672]],1,[[0. 1. 0.]]
do not worry uk you worked hard cannot afford carehome fees we take your house oh look in london another muzzie family in a nice flat good on you where the tex goes its a shocker,[[0.00874298 0.9912571 ]],[[0.09165887 0.8385316  0.08268029]],[[0.02884827 0.20993766 0.00285839]],1,[[0. 1. 0.]]
cheating is not the wave grow up you dumbass nigga,[[0.9552523  0.04474776]],[[0.34008548 0.00444772 0.46900582]],[[ 0.24699646 -0.11243712 -0.02569147]],0,[[1. 0. 0.]]
<user> <user> <user> <user> <user> <user> yeah just the backwoods redneck portion of society in oklahoma that does not even know other sports exist,[[0.99621576 0.00378427]],[[0.02301268 0.01905023 0.06291638]],[[ 0.19283678 -0.02907247 -0.04902129]],0,[[0. 0. 1.]]
<user> <user> <user> yes men commit male violence i actually wouldnt envy a lesbian being confonted with a penis for a number of reasons the fear of being raped or being beaten for turning down the trans woman being just one,[[0.9887074  0.01129256]],[[0.01183394 0.01474018 0.26775795]],[[ 0.10471515 -0.12322006 -0.054153  ]],0,[[0. 0. 1.]]
dad should have told the muzrat whore to fuck off and went in anyway,[[0.00345153 0.9965485 ]],[[0.64887154 0.83044463 0.87543017]],[[ 0.01941291  0.13784304 -0.00591434]],1,[[0. 1. 0.]]
fanbloodytastic by time these leeches are held to account especially the muzzie scum taking <number> wives breeding kids like rabbits in order to increase welfare payments potus ur simply the best 👍 👏 👏 👏 👏,[[0.00345332 0.9965467 ]],[[0.14153488 0.9189102  0.1513321 ]],[[0.06007646 0.13294883 0.03531742]],1,[[0. 1. 0.]]
whitey prevails for a change miss south africa beats out a nig two spics and a gook to win miss u,[[0.01123805 0.98876196]],[[0.9565715  0.10186607 0.4318617 ]],[[0.1006486  0.146514   0.00401043]],1,[[1. 0. 0.]]
<user> <user> welcome to modern britain the country where freedom of speech being white heterosexual male female non muslim is now classed as being racist fascist homophobic islamophobic made up word the country is falling,[[0.9953259 0.0046741]],[[0.08129624 0.24001871 0.02864089]],[[ 0.13547139  0.00132731 -0.09565008]],0,[[0. 0. 0.]]
meet the british nigger bitch princess criminal trash family 🤣,[[0.00338873 0.9966113 ]],[[0.9889691  0.29922003 0.92596453]],[[0.08712693 0.15424389 0.02600331]],1,[[1. 0. 0.]]
lets hope so gas the lot including the nigger,[[0.00633959 0.9936604 ]],[[0.9914453  0.03158578 0.32868525]],[[ 0.18561971  0.05702386 -0.03534165]],1,[[1. 1. 0.]]
<user> bring out the uneducated hillbillies and white supremacists to our sign meeting and donate to our right wing cause duh i work oil duh i like truck duh me hate muslim duh i can not read,[[0.9882935  0.01170641]],[[0.04753113 0.7297423  0.04096935]],[[ 0.13290226  0.00968539 -0.09913656]],0,[[1. 0. 0.]]
he a jew when it convenient for him and a fellow white person when thats more convenient just like literally every other kike,[[0.00323362 0.9967663 ]],[[0.10738759 0.9946832  0.21319602]],[[-0.04586016  0.23990412 -0.04573889]],1,[[1. 1. 0.]]
