sentence,target_logits,concept_logits,concept_gradient,label,concept_label
as much as i appreciate a format of open discussion i really just want a facebook that i can say beaner on,[[0.04460859 0.9553914 ]],[[0.47553098 0.08582219 0.09152711]],[[ 0.17112282 -0.03356241  0.00316866]],0,[[1. 0. 0.]]
i do not blame orlando pie rats for loosing like this they are drunk from that black label 😂 😂 😂 mtn 8 ss diski wafa wafa,[[0.05860188 0.94139814]],[[0.55856633 0.17357741 0.1282676 ]],[[ 0.17247434 -0.01920343  0.01707277]],0,[[0. 0. 0.]]
i raped a sheep because it sneezed at a pig,[[0.17921697 0.8207831 ]],[[0.24003349 0.06611552 0.74113286]],[[ 0.20977998 -0.06571338 -0.00861384]],0,[[0. 0. 0.]]
do u have to be retarded to be a lino,[[0.3093791 0.6906209]],[[0.06935094 0.04306973 0.05874367]],[[ 0.26637545 -0.04150368  0.0035877 ]],0,[[0. 0. 0.]]
so that is why mom brother who works in google a pakistani born married a local american women divorced her got married to a rich paki doctor wow ye concept hy phir they shifted to us great,[[0.2059372 0.7940628]],[[0.16222818 0.9255672  0.08028883]],[[ 0.24508846 -0.07794289 -0.00561747]],0,[[0. 1. 0.]]
me 🤝 looking like a dyke every day,[[0.21963367 0.78036636]],[[0.09719137 0.00969146 0.7015413 ]],[[ 0.2432796  -0.09345763 -0.0100075 ]],0,[[0. 0. 0.]]
<user> according to police the suspect sean bell was also in violation of driving with six suspensions yep just another day on white trash collapsing long island,[[0.966639   0.03336102]],[[0.614114   0.01389705 0.06182834]],[[0.01448953 0.31176496 0.02713795]],1,[[1. 0. 0.]]
<user> text me faggot,[[0.25335428 0.74664575]],[[0.07183465 0.0159906  0.20967308]],[[ 0.23729363 -0.06807729 -0.01944953]],0,[[0. 0. 1.]]
the heeb fears the muramasa,[[0.2795467 0.7204533]],[[0.11150529 0.3720808  0.04881309]],[[ 0.26342273 -0.06518032 -0.01422604]],0,[[0. 1. 0.]]
<user> he is infected with jihadi virus he will spread it to others,[[0.83641255 0.1635875 ]],[[0.02151009 0.6669629  0.06119821]],[[0.0610304  0.28999463 0.04664641]],1,[[0. 1. 0.]]
real nigger me please,[[0.00750942 0.9924906 ]],[[0.98940814 0.03156936 0.21197018]],[[0.08222739 0.01903017 0.01681813]],0,[[1. 0. 0.]]
and of course where this ultimately leads to the tate murders failure to occur what this creates in effect is a fantasy jewish moralizer comparable to the war against the germans existing in ib while simulatenously offering a holocaust negation fantasy,[[0.12207383 0.8779262 ]],[[0.0839485 0.9460284 0.2949012]],[[ 0.23221956 -0.0457669  -0.0191285 ]],0,[[0. 0. 0.]]
it is impossible for me to follow the rules on twitter you can not even call girls who shave the sides of their heads ugly dykes anymore,[[0.90108764 0.09891237]],[[0.09737864 0.01145592 0.82703805]],[[-0.02777681  0.27633214  0.04102037]],1,[[0. 0. 1.]]
i need to calm down and stop being so autistic like honestly im just too retarded wtf im going to try be a calmer person from now on,[[0.92708397 0.07291598]],[[0.02220014 0.01358075 0.36545843]],[[-0.04128705  0.2802915   0.01733626]],1,[[0. 0. 0.]]
<user> andrew johnson impeached failed send every negro back to africa beat as worst president by trump go back places from which they came read jesus turned serapis sermon on the black christ lulu thomas jefferson pimped skydog and the aunt jamama bomb lulu,[[0.22890829 0.7710917 ]],[[0.98982376 0.0573126  0.2547168 ]],[[0.07415806 0.01741193 0.01948819]],0,[[1. 0. 0.]]
so a gook threw out all of my books long story i am putting together an amazon cart with all of my old books and some new ones anyone have any suggestions,[[0.01847578 0.98152417]],[[0.05266633 0.41573542 0.07463408]],[[ 0.19086261 -0.036804   -0.00764694]],0,[[0. 0. 0.]]
pac said all you mfs fuck you too fuck u die slow mfs my <number> make sure all you all kid do not grow,[[0.46908495 0.530915  ]],[[0.0671289  0.04422965 0.64759576]],[[ 0.2252427  -0.07765061 -0.01668125]],0,[[0. 0. 1.]]
i hate saying nigga around my white friends but sometimes you niggers be out coonin and a cmon my nigga will slip out every now and again,[[0.16296402 0.83703595]],[[0.9624684 0.0139541 0.3583467]],[[ 0.19424172  0.00353504 -0.00548791]],0,[[1. 0. 0.]]
<user> and <user> jailed today for highlighting the paki gangs raping british children in towns and cities across the uk our police will not do anything about it because they are busy engaging in this degeneracy,[[0.9754204  0.02457961]],[[0.0684191  0.11066027 0.03589966]],[[0.00140297 0.25884834 0.01952801]],1,[[0. 1. 0.]]
<user> bat ching chong,[[0.00907428 0.99092567]],[[0.4332373  0.32101533 0.22010201]],[[ 0.1536084  -0.01389698  0.00632661]],0,[[0. 0. 0.]]
black people still have not expressed their anger over current moslem slave owners in the middle east and north africa,[[0.47005004 0.5299499 ]],[[0.46352345 0.8181794  0.08903518]],[[ 0.23985006 -0.06680629 -0.01569209]],0,[[0. 0. 0.]]
lmfao the passenger in they car is trying to file another claim in they neck and back 😭 😭 😭 😭 u niggers are so predictable make me sick,[[0.59272885 0.40727115]],[[0.8578534  0.00594172 0.27650815]],[[ 0.02809512  0.21606758 -0.00235048]],1,[[1. 0. 0.]]
white guy puts ied in mall and the response is fuck all muzzies and spics stay classy gab,[[0.00708963 0.9929103 ]],[[0.63750297 0.90853214 0.10165107]],[[ 0.15192023 -0.00436383 -0.02640129]],0,[[1. 1. 0.]]
no chinks niggers or redskins ah i can already tell by the blunt racist dialogue from one of the white characters in the opening scene that this is going to be a good exploitation film,[[0.00605647 0.9939435 ]],[[0.9643997 0.7557216 0.4954293]],[[-0.03082582 -0.07089704 -0.01129619]],0,[[1. 0. 0.]]
